x
ULBP2
AKAP12
RBM39
GGT7
MAP1B
PRKAB2
ZNF304
SELENOS
ARFIP2
PER2
PTPRE
SEC61G
RIN2
PTPRA
ZMYM5
BEX2
SLC39A11
SPINK5
IRAK2
EDEM1
FKBP11
SLC38A2
TIMM17A
DTNA
APC
RNFT2
TES
NT5E
PHF21A
ITGA7
NHSL1
ALDH1L2
SLC41A2
FLNB
PHF11
SETDB2
IGF2BP3
ALPK3
CALCOCO2
ST6GALNAC4
MYC
PIM1
SDCBP
THBS1
HAUS2
TTLL7
AOX1
ITGAV
RASGEF1B
PDE5A
GABARAPL1
PIK3C2G
TAPBPL
INHBE
GLIPR1
SLC7A1
SLC39A5
CSAD
MBNL2
STON2
JDP2
WARS
GCNT3
SCAPER
NOL3
MAP1LC3B
OSGIN1
RANBP10
VPS53
PMAIP1
IFITM3
COL6A1
TMEM50B
BCL10
RGS16
LYST
PSEN2
CNOT9
GMPPA
RBMS3
GOLGA4
PLA1A
SRPRB
MANF
EAF2
LHFPL2
FAM193B
SCUBE3
TMEM140
OGT
IGSF1
PLPP5
VLDLR
PLIN2
UGCG
GPR107
ANKRD1
FRA10AC1
CNNM2
INTS4
NPAT
HYOU1
CABLES2
PDCD4
PIP4K2A
UBC
SLC7A11
ANK3
EPS8
FAM160B1
AKR1C2
DST
HSPB8
ATG10
JMY
PLEKHH2
SAR1B
MARVELD2
DAB2
CLGN
LPCAT1
RMND5A
LURAP1L
CEBPG
MSI2
TBCEL
RETREG1
MIA3
DISP1
TNIK
SH3RF1
FAM69A
PDLIM3
BTG3
GABPA
CCDC174
FLCN
AK9
TTC39B
TRMT44
MIER3
TTN
PDIA4
SLC26A2
RAB39B
ELMSAN1
HKDC1
NSMCE2
VPS8
ZNF19
TSC22D3
MX1
WDR19
WDR66
TMED4
CDC42SE2
PSMB4
MED8
ISL2
SIK3
MRNIP
SLC25A45
SYVN1
TPCN2
JAK1
DHRS3
ATF3
PPP1R21
RFTN2
CTSS
S100A11
ALPI
KRTCAP2
ANKZF1
SPICE1
SMIM14
CXCL3
CXCL5
CXCL1
LRRC2
DTX3L
ZC3H12A
UVSSA
S100P
DUSP7
NDUFAF2
SPINK1
ERAP1
CREBRF
DACT2
TRA2A
RP9
TMEM184A
TP53INP1
GEM
CPA6
MARCH8
PRAP1
ZFYVE1
IFI27L1
ARL5B
CEP295
TAF1D
TCP11L2
LARP6
ZNF202
FAM227B
TPP1
USP54
SEC11C
HSP90B1
PEX11A
NAV2
CCNDBP1
SMAD3
